Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity corrected 12	Reporter intensity corrected 13	Reporter intensity corrected 14	Reporter intensity corrected 15	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity 12	Reporter intensity 13	Reporter intensity 14	Reporter intensity 15	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Reporter intensity count 12	Reporter intensity count 13	Reporter intensity count 14	Reporter intensity count 15	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|Q9P0L0|VAPA_HUMAN	sp|Q9P0L0|VAPA_HUMAN	3	3	3	sp|Q9P0L0|VAPA_HUMAN Vesicle-associated membrane protein-associated protein A OS=Homo sapiens OX=9606 GN=VAPA PE=1 SV=3	1	3	3	3	14.5	14.5	14.5	27.893	249	249	0	19.086	61565	57748	58546	56837	51908	8199.4	5951.7	73984	45540	50398	62469	45436	43654	43025	11592	56734	53736	59375	57138	53113	12947	9575.9	71303	44900	52180	62167	46347	43600	41151	11646	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	57421000	3				1198	908;2372;3172	True;True;True	937;2456;3279	1468;3963;5207	1935;5134;6725	1935;5134;6725		
sp|Q9P258|RCC2_HUMAN	sp|Q9P258|RCC2_HUMAN	3	3	3	sp|Q9P258|RCC2_HUMAN Protein RCC2 OS=Homo sapiens OX=9606 GN=RCC2 PE=1 SV=2	1	3	3	3	6.7	6.7	6.7	56.084	522	522	0	17.697	32054	41519	31420	33665	37772	8842.5	7084.2	45830	20260	34681	34622	27294	25719	30627	9013.8	29546	38567	31912	34471	37844	11396	9143.6	44486	20474	35555	34307	28189	25715	29207	8914.3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	36489000	3				1199	5702;7307;7736	True;True;True	5931;7606;8047	9366;11980;12695	12454;15797;16652	12454;15797;16652		
sp|Q9P2E9|RRBP1_HUMAN	sp|Q9P2E9|RRBP1_HUMAN	30	30	30	sp|Q9P2E9|RRBP1_HUMAN Ribosome-binding protein 1 OS=Homo sapiens OX=9606 GN=RRBP1 PE=1 SV=5	1	30	30	30	38	38	38	152.45	1410	1410	0	256.65	634310	682950	444520	652460	740370	122050	88310	851770	341620	489180	627390	397780	514730	494820	161660	583460	635440	468770	658020	728040	170170	130700	818990	345790	510950	622020	412590	511660	471120	160730	31	31	31	31	31	29	30	31	31	31	31	31	31	31	29	3127800000	35				1200	49;195;200;651;994;1001;2029;2092;2637;2656;2914;3870;3871;3872;3874;4664;4732;4766;5056;6191;6908;6913;7395;7493;7580;7806;7818;7901;8209;8262	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	50;199;204;670;1023;1032;2106;2171;2730;2749;3014;3997;3998;3999;4001;4822;4893;4929;5230;6447;7186;7191;7695;7793;7882;8120;8133;8220;8538;8593	76;313;314;320;321;1047;1590;1608;3436;3541;4364;4394;4787;6353;6354;6355;6357;7603;7713;7714;7776;8247;10255;11337;11342;12116;12263;12393;12797;12819;12958;13459;13540	90;388;389;395;396;1371;2082;2103;2104;4496;4640;5663;5700;6172;8374;8375;8376;8378;10155;10156;10295;10296;10387;10978;13636;14975;14980;15951;16134;16288;16784;16809;16989;17676;17787	90;388;395;1371;2082;2103;4496;4640;5663;5700;6172;8374;8375;8376;8378;10156;10295;10387;10978;13636;14975;14980;15951;16134;16288;16784;16809;16989;17676;17787		
sp|Q9P2J5|SYLC_HUMAN	sp|Q9P2J5|SYLC_HUMAN	3	3	3	sp|Q9P2J5|SYLC_HUMAN Leucine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=LARS1 PE=1 SV=2	1	3	3	3	3.9	3.9	3.9	134.46	1176	1176	0	19.615	36820	27986	35896	28960	24004	11965	8495.6	35062	28402	28795	36885	18669	25623	25783	11213	33936	26114	36246	29183	25367	13672	9930.4	34388	28178	29250	36786	19652	25803	24514	10981	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	37231000	3				1201	1916;3562;6365	True;True;True	1986;3679;6628	3232;5869;10526	4243;7736;13973	4243;7736;13973		
sp|Q9UBI6|GBG12_HUMAN	sp|Q9UBI6|GBG12_HUMAN	1	1	1	sp|Q9UBI6|GBG12_HUMAN Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12 OS=Homo sapiens OX=9606 GN=GNG12 PE=1 SV=3	1	1	1	1	15.3	15.3	15.3	8.0061	72	72	0	11.032	15188	19539	19038	24940	16074	2021.6	1619.3	27948	14990	18004	15735	15149	16180	13974	4402.3	14028	18246	18900	24608	16498	4104.4	2782	26846	14671	18649	15962	15476	15927	13372	4413.9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	97383000	2				1202	7521	True	7822	12299;12300	16176;16177	16177		
sp|Q9UBP9|GULP1_HUMAN	sp|Q9UBP9|GULP1_HUMAN	10	10	10	sp|Q9UBP9|GULP1_HUMAN PTB domain-containing engulfment adapter protein 1 OS=Homo sapiens OX=9606 GN=GULP1 PE=1 SV=1	1	10	10	10	32.6	32.6	32.6	34.49	304	304	0	69.911	383460	406880	300090	374270	296670	96635	71543	575810	206110	306740	379050	230410	279500	242390	124530	352920	378560	310390	379250	301930	126650	87847	553410	209030	320820	374990	237820	280770	231400	121860	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	590980000	12				1203	2388;2395;3686;3791;4190;4433;5616;6516;8084;8584	True;True;True;True;True;True;True;True;True;True	2472;2479;3809;3916;4332;4582;5837;6786;8410;8932	3992;4000;4001;6071;6222;6887;7240;7241;9194;10765;13256;14094	5182;5191;5192;8015;8209;9188;9645;9646;12195;14277;17357;18561	5182;5192;8015;8209;9188;9645;12195;14277;17357;18561		
sp|Q9UBQ5|EIF3K_HUMAN	sp|Q9UBQ5|EIF3K_HUMAN	3	3	3	sp|Q9UBQ5|EIF3K_HUMAN Eukaryotic translation initiation factor 3 subunit K OS=Homo sapiens OX=9606 GN=EIF3K PE=1 SV=1	1	3	3	3	17.9	17.9	17.9	25.059	218	218	0	30.515	39622	39048	38216	54566	29807	9661.3	6627.2	65731	29306	35464	50781	33226	41833	26195	10924	36516	36559	38668	53691	30923	13889	8554.7	63141	29475	37298	50411	33626	41476	25150	10984	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	48339000	3				1204	1989;3369;9056	True;True;True	2065;3483;9417	3370;5559;14800	4412;7300;19424	4412;7300;19424		
sp|Q9UBU9|NXF1_HUMAN	sp|Q9UBU9|NXF1_HUMAN	13	13	13	sp|Q9UBU9|NXF1_HUMAN Nuclear RNA export factor 1 OS=Homo sapiens OX=9606 GN=NXF1 PE=1 SV=1	1	13	13	13	22.3	22.3	22.3	70.182	619	619	0	106.82	332510	248400	206780	566470	282820	39191	39629	467840	229740	298230	587860	322070	442090	420410	54081	305670	235060	220400	544250	281260	79323	58194	449670	236490	313440	577500	331770	437060	399970	58409	16	16	16	16	16	13	16	16	16	16	16	16	16	16	16	766600000	16				1205	424;657;1298;1307;2715;3495;4479;5550;6712;6754;6755;7272;7295	True;True;True;True;True;True;True;True;True;True;True;True;True	435;676;1337;1346;2810;3609;4631;5771;6983;7030;7031;7571;7594	638;1053;2163;2164;2176;4477;4478;5738;7319;9095;11017;11102;11103;11931;11932;11962	790;1377;2839;2840;2856;5792;5793;7530;9754;12074;14591;14701;14702;15741;15742;15773	790;1377;2839;2856;5792;7530;9754;12074;14591;14701;14702;15742;15773		
sp|Q9UBX3|DIC_HUMAN	sp|Q9UBX3|DIC_HUMAN	3	3	3	sp|Q9UBX3|DIC_HUMAN Mitochondrial dicarboxylate carrier OS=Homo sapiens OX=9606 GN=SLC25A10 PE=1 SV=2	1	3	3	3	11.1	11.1	11.1	31.282	287	287	0	19.513	67006	69477	59347	62156	55542	25159	18175	86626	39990	54741	76933	39016	53188	48137	23566	61718	64679	60629	63322	56852	29169	20896	84128	40851	56558	75925	40661	53576	45838	23067	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	53141000	3				1206	3009;5935;8321	True;True;True	3111;6183;8653	4934;9790;13623	6352;13005;17889	6352;13005;17889		
sp|Q9UDW1|QCR9_HUMAN	sp|Q9UDW1|QCR9_HUMAN	2	2	2	sp|Q9UDW1|QCR9_HUMAN Cytochrome b-c1 complex subunit 9 OS=Homo sapiens OX=9606 GN=UQCR10 PE=1 SV=3	1	2	2	2	39.7	39.7	39.7	7.3084	63	63	0	18.615	36799	41092	46960	37470	34129	8182.5	6214.9	46046	32680	39592	63404	34808	31557	28256	9567.3	33994	38217	46505	37951	35586	11025	8519.5	44840	32763	40419	62156	35320	32153	27111	9540.5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	50460000	2				1207	10;255	True;True	9;258	14;394	15;483	15;483		
sp|Q9UDY2|ZO2_HUMAN	sp|Q9UDY2|ZO2_HUMAN	1	1	1	sp|Q9UDY2|ZO2_HUMAN Tight junction protein ZO-2 OS=Homo sapiens OX=9606 GN=TJP2 PE=1 SV=2	1	1	1	1	0.8	0.8	0.8	133.96	1190	1190	0.0034513	6.3311	23445	12136	6733.5	19050	15949	2579.1	1737.2	56947	3943.1	7769.7	30386	7635.4	8375.9	7372.7	3731.5	21498	11385	8295.1	18646	15498	4976	2581.5	53524	4616.1	9944.2	29101	7806.5	9017.8	7048.7	3656.9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	25071000	1				1208	8735	True	9087	14317	18835	18835		
sp|Q9UEU0|VTI1B_HUMAN	sp|Q9UEU0|VTI1B_HUMAN	1	1	1	sp|Q9UEU0|VTI1B_HUMAN Vesicle transport through interaction with t-SNAREs homolog 1B OS=Homo sapiens OX=9606 GN=VTI1B PE=1 SV=3	1	1	1	1	8.6	8.6	8.6	26.688	232	232	0.0010091	7.9473	6395.2	8279.4	7612.6	7046.4	13284	1937.2	2434.4	10585	4237.3	7104.2	7616	4941.8	4566.8	5982.7	2215	5904.7	7696	7670.3	7187.9	13040	2488.6	3078.8	10235	4336	7304.8	7507.4	5150.1	4641.6	5698.7	2161	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6947300	1				1209	3363	True	3477	5550	7291	7291		
sp|Q9UEY8|ADDG_HUMAN	sp|Q9UEY8|ADDG_HUMAN	1	1	1	sp|Q9UEY8|ADDG_HUMAN Gamma-adducin OS=Homo sapiens OX=9606 GN=ADD3 PE=1 SV=1	1	1	1	1	2.3	2.3	2.3	79.154	706	706	0.00090171	6.8575	6241.5	16851	6672.3	7167.5	19201	3105.2	1404.7	11714	4535.9	9229	7203.1	6547.6	5522.9	7954.6	4033	5758.1	15571	6863.7	7955.2	18473	3616.9	2449.8	11425	4568.9	9413.2	7163.9	6817.3	5611.8	7576.5	3885.9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10709000	1				1210	8531	True	8877	14003	18439	18439		
sp|Q9UFW8|CGBP1_HUMAN	sp|Q9UFW8|CGBP1_HUMAN	12	12	12	sp|Q9UFW8|CGBP1_HUMAN CGG triplet repeat-binding protein 1 OS=Homo sapiens OX=9606 GN=CGGBP1 PE=1 SV=2	1	12	12	12	46.1	46.1	46.1	18.82	167	167	0	83.588	820480	1034300	678440	1000200	981150	41106	44904	1173100	496130	496940	525940	696600	896350	812130	75814	755430	961480	701320	1004300	969660	97244	104870	1115200	490390	545570	543480	708860	863420	773890	86134	28	28	28	28	28	20	21	28	28	28	28	28	28	28	26	9644500000	29				1211	133;192;2532;3868;3869;5614;6698;6968;7506;7507;8665;8680	True;True;True;True;True;True;True;True;True;True;True;True	135;196;2623;3995;3996;5835;6969;7248;7807;7808;9015;9030	199;200;201;309;310;4216;4217;6351;6352;9192;10997;11430;12280;12281;12282;12283;14211;14212;14213;14230;14231;14232	250;251;252;253;384;385;5469;5470;5471;8370;8371;8372;8373;12193;14565;15083;16155;16156;16157;16158;16159;16160;18711;18712;18713;18735;18736;18737;18738	251;385;5471;8372;8373;12193;14565;15083;16156;16159;18712;18736		
sp|Q9UG63|ABCF2_HUMAN	sp|Q9UG63|ABCF2_HUMAN	7	7	7	sp|Q9UG63|ABCF2_HUMAN ATP-binding cassette sub-family F member 2 OS=Homo sapiens OX=9606 GN=ABCF2 PE=1 SV=2	1	7	7	7	12.4	12.4	12.4	71.289	623	623	0	45.201	172490	163300	132430	147430	118680	33492	22544	192870	92310	130990	155330	112130	121740	108980	36451	158740	151860	137070	149480	121610	44850	29829	186500	92713	135400	154140	114710	121160	104180	36349	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	97961000	8				1212	2169;2213;4485;4873;5228;5723;8825	True;True;True;True;True;True;True	2248;2294;4637;5039;5406;5954;9180	3643;3717;7325;7930;8549;9414;14449	4754;4830;9760;9761;10570;11392;12528;19010	4754;4830;9761;10570;11392;12528;19010		
sp|Q9UH62|ARMX3_HUMAN	sp|Q9UH62|ARMX3_HUMAN	1	1	1	sp|Q9UH62|ARMX3_HUMAN Armadillo repeat-containing X-linked protein 3 OS=Homo sapiens OX=9606 GN=ARMCX3 PE=1 SV=1	1	1	1	1	4.5	4.5	4.5	42.5	379	379	0.00090009	6.8118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				1213	784	True	805	1246	1628	1628		
sp|Q9UHB6|LIMA1_HUMAN	sp|Q9UHB6|LIMA1_HUMAN	6	6	6	sp|Q9UHB6|LIMA1_HUMAN LIM domain and actin-binding protein 1 OS=Homo sapiens OX=9606 GN=LIMA1 PE=1 SV=1	1	6	6	6	7.9	7.9	7.9	85.225	759	759	0	38.73	110400	47014	40590	106860	75461	23176	11894	272070	27275	47529	155260	38149	65135	38952	17054	101290	44596	47219	103200	74053	34654	15845	256680	30690	57325	149640	39355	66993	37205	17167	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	101630000	6				1214	22;1943;3722;4215;6353;6808	True;True;True;True;True;True	23;2014;3845;4358;6616;7083	36;3274;6125;6924;10512;11171	40;4286;8093;9243;13957;14772	40;4286;8093;9243;13957;14772		
sp|Q9UHB9|SRP68_HUMAN	sp|Q9UHB9|SRP68_HUMAN	2	2	2	sp|Q9UHB9|SRP68_HUMAN Signal recognition particle subunit SRP68 OS=Homo sapiens OX=9606 GN=SRP68 PE=1 SV=2	1	2	2	2	3.2	3.2	3.2	70.729	627	627	0	10.779	43084	39217	29920	22068	14951	12569	9410.9	28808	12163	26296	25381	13631	17318	16108	32975	39625	36340	31175	23628	16506	13681	9860.2	28486	12692	26387	25097	14393	18625	15351	31298	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	61421000	2				1215	514;3149	True;True	530;3253	834;5146	1084;6601	1084;6601		
sp|Q9UHD2|TBK1_HUMAN	sp|Q9UHD2|TBK1_HUMAN	4	4	4	sp|Q9UHD2|TBK1_HUMAN Serine/threonine-protein kinase TBK1 OS=Homo sapiens OX=9606 GN=TBK1 PE=1 SV=1	1	4	4	4	7.3	7.3	7.3	83.641	729	729	0	36.435	30060	26095	18999	38552	21834	1831	2279.4	42739	13609	16873	24053	17017	28970	32512	3842.1	27635	24420	20157	37691	21932	4453.4	3665.7	40565	13794	18425	24129	18031	28193	30796	4103.8	3	3	3	3	3	1	3	3	3	3	3	3	3	3	3	49755000	4				1216	3523;4554;5155;8338	True;True;True;True	3639;4711;5331;8670	5804;7445;8405;13642	7641;9946;11198;17908	7641;9946;11198;17908		
sp|Q9UHD8|SEPT9_HUMAN	sp|Q9UHD8|SEPT9_HUMAN	2	2	2	sp|Q9UHD8|SEPT9_HUMAN Septin-9 OS=Homo sapiens OX=9606 GN=SEPTIN9 PE=1 SV=2	1	2	2	2	4.1	4.1	4.1	65.401	586	586	0	12.094	23128	22033	18324	19622	25389	5648.5	3647.8	25132	15770	19426	25400	14738	17668	18403	6181.6	21288	20494	19015	19943	25212	7050	5168.5	24452	15764	19883	25168	15325	17718	17521	6114.3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	30987000	2				1217	161;8554	True;True	163;8902	256;14047	324;18508	324;18508		
sp|Q9UHQ4|BAP29_HUMAN	sp|Q9UHQ4|BAP29_HUMAN	9	9	9	sp|Q9UHQ4|BAP29_HUMAN B-cell receptor-associated protein 29 OS=Homo sapiens OX=9606 GN=BCAP29 PE=1 SV=2	1	9	9	9	19.9	19.9	19.9	28.32	241	241	0	55.222	1063900	490980	433660	469470	396350	31394	28223	694870	306970	230180	700810	225450	701900	647300	36028	976420	456440	489850	472220	405850	59050	54207	658390	314080	257370	694830	248730	684170	611170	45577	15	15	15	15	15	12	12	15	15	15	15	15	15	15	14	1495100000	15				1218	687;2244;2410;3979;4115;4257;5234;7892;7921	True;True;True;True;True;True;True;True;True	708;2325;2494;4111;4252;4401;5413;8211;8240	1111;1112;3759;4018;4019;6541;6742;6983;8558;8559;12931;12932;12981	1451;1452;4874;5216;5217;8678;8983;8984;9325;11401;11402;16944;16945;16946;17014	1452;4874;5217;8678;8984;9325;11402;16946;17014		
sp|Q9UHX1|PUF60_HUMAN	sp|Q9UHX1|PUF60_HUMAN	11	11	11	sp|Q9UHX1|PUF60_HUMAN Poly(U)-binding-splicing factor PUF60 OS=Homo sapiens OX=9606 GN=PUF60 PE=1 SV=1	1	11	11	11	28.4	28.4	28.4	59.875	559	559	0	117.86	421080	473480	448720	437960	381530	251150	231570	505630	321630	430250	432690	337050	330050	370790	275010	388370	441510	451150	446590	395840	270630	243070	500630	327310	438520	432590	347790	337030	353700	264190	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	1199600000	24				1219	704;929;3128;4287;4618;6073;6912;7400;8305;8724;8791	True;True;True;True;True;True;True;True;True;True;True	725;726;958;3231;4431;4775;6327;7190;7700;8637;9075;9145	1135;1136;1137;1494;5108;5109;7023;7542;10052;11341;12124;12125;13600;13601;14301;14302;14390;14391	1480;1481;1482;1483;1969;1970;6556;6557;9381;10078;10079;13350;14979;15959;15960;15961;15962;17860;17861;17862;18815;18816;18924;18925	1483;1969;6557;9381;10079;13350;14979;15962;17861;18815;18925	388	287
sp|Q9UI09|NDUAC_HUMAN	sp|Q9UI09|NDUAC_HUMAN	1	1	1	sp|Q9UI09|NDUAC_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 OS=Homo sapiens OX=9606 GN=NDUFA12 PE=1 SV=1	1	1	1	1	11.7	11.7	11.7	17.114	145	145	0.00099404	7.7686	8970.9	7120.5	6962.4	8610.9	5537.2	1986.2	2112.1	7856.3	5399.4	7768.5	9767.3	5296.5	4084.1	4065.7	1547.6	8256	6651.9	7192.3	8551.4	5758.7	2555.2	2399.2	7720	5438.7	7810.6	9568.7	5418.3	4225.9	3906.4	1526	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	17889000	1				1220	2431	True	2517	4046	5244	5244		
sp|Q9UI30|TR112_HUMAN	sp|Q9UI30|TR112_HUMAN	1	1	1	sp|Q9UI30|TR112_HUMAN Multifunctional methyltransferase subunit TRM112-like protein OS=Homo sapiens OX=9606 GN=TRMT112 PE=1 SV=1	1	1	1	1	11.2	11.2	11.2	14.199	125	125	0.0010373	8.4902	15017	12978	13506	16198	14705	3683.1	2990.6	18755	9317.6	12441	15437	14077	11881	12714	2992.6	13833	12130	13801	16058	14840	4856.1	3814.5	18153	9387.9	13032	15316	14232	11807	12171	3016.6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	36377000	2				1221	2941	True	3041	4824;4825	6216;6217	6216		
sp|Q9UJ70|NAGK_HUMAN	sp|Q9UJ70|NAGK_HUMAN	1	1	1	sp|Q9UJ70|NAGK_HUMAN N-acetyl-D-glucosamine kinase OS=Homo sapiens OX=9606 GN=NAGK PE=1 SV=4	1	1	1	1	4.7	4.7	4.7	37.375	344	344	0.0010309	8.3539	5435.1	6089	5357.4	5079.1	6713.8	2515.7	1534.5	8068.1	3370.2	7230.5	7526.3	3793.1	4167.2	5745	2156	5010.1	5666.3	5442.8	5215.8	6715.3	2833.4	1873.1	7919.3	3465.3	7273.2	7374.1	4058.2	4259.7	5456.2	2098.8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	12463000	1				1222	7008	True	7289	11497	15180	15180		
sp|Q9UJS0|CMC2_HUMAN	sp|Q9UJS0|CMC2_HUMAN	9	9	9	sp|Q9UJS0|CMC2_HUMAN Calcium-binding mitochondrial carrier protein Aralar2 OS=Homo sapiens OX=9606 GN=SLC25A13 PE=1 SV=2	1	9	9	9	19.7	19.7	19.7	74.175	675	675	0	79.411	189190	185620	165210	192780	166940	37254	31674	226380	115480	162440	205730	126560	148640	173470	46511	174250	172920	169100	193250	169360	51922	41500	219120	116410	167210	203500	132150	148530	164940	46272	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	253430000	12				1223	744;1187;2342;3349;3652;4413;7288;8037;8621	True;True;True;True;True;True;True;True;True	765;1220;2425;3462;3775;4561;7587;8362;8970	1191;1943;1944;3908;3909;3910;5506;6030;7213;11954;13181;14147	1557;2540;2541;5061;5062;5063;7197;7964;9616;15765;17250;18622	1557;2541;5062;7197;7964;9616;15765;17250;18622		
sp|Q9UJV9|DDX41_HUMAN	sp|Q9UJV9|DDX41_HUMAN	11	11	11	sp|Q9UJV9|DDX41_HUMAN Probable ATP-dependent RNA helicase DDX41 OS=Homo sapiens OX=9606 GN=DDX41 PE=1 SV=2	1	11	11	11	22.5	22.5	22.5	69.837	622	622	0	73.014	169170	225390	181870	209330	183010	89283	82365	266320	129790	180600	186340	172910	166910	145040	94584	156040	209970	183040	212710	186670	101740	89433	259770	132260	187420	186560	175200	167330	139060	91766	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	297970000	13				1224	2828;3072;3569;3863;4850;4884;6879;7540;7880;8965;9121	True;True;True;True;True;True;True;True;True;True;True	2925;3174;3686;3990;5015;5050;7157;7841;8199;9321;9485	4674;5031;5879;6340;7893;7894;7944;11295;12330;12914;12915;14651;14931	6033;6474;7748;8355;10522;10523;10585;14926;16214;16927;16928;19245;19640	6033;6474;7748;8355;10523;10585;14926;16214;16927;19245;19640		
sp|Q9UJW0|DCTN4_HUMAN	sp|Q9UJW0|DCTN4_HUMAN	2	2	2	sp|Q9UJW0|DCTN4_HUMAN Dynactin subunit 4 OS=Homo sapiens OX=9606 GN=DCTN4 PE=1 SV=1	1	2	2	2	9.6	9.6	9.6	52.337	460	460	0	11.308	14099	16624	12726	16964	13755	3409.7	3558.1	22208	9388.8	11578	18185	9394.6	12925	10924	3149.5	12988	15483	13000	17031	13905	4746.2	4288	21322	9562.5	12171	17945	9713.1	12884	10411	3182.4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	20368000	2				1225	3416;4671	True;True	3530;4829	5624;7611	7386;10165	7386;10165		
sp|Q9UKD2|MRT4_HUMAN	sp|Q9UKD2|MRT4_HUMAN	2	2	2	sp|Q9UKD2|MRT4_HUMAN mRNA turnover protein 4 homolog OS=Homo sapiens OX=9606 GN=MRTO4 PE=1 SV=2	1	2	2	2	9.2	9.2	9.2	27.56	239	239	0	11.3	53850	66732	49091	64262	64233	10125	7631.3	79492	32895	53521	56024	45536	50449	49214	13735	49612	62082	50223	64724	63936	13102	11430	76659	33152	55376	55771	46814	49877	46959	13773	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	43893000	3				1226	1673;7745	True;True	1730;8056	2828;12705;12706	3674;16666;16667	3674;16667		
sp|Q9UKF6|CPSF3_HUMAN	sp|Q9UKF6|CPSF3_HUMAN	1	1	1	sp|Q9UKF6|CPSF3_HUMAN Cleavage and polyadenylation specificity factor subunit 3 OS=Homo sapiens OX=9606 GN=CPSF3 PE=1 SV=1	1	1	1	1	3.5	3.5	3.5	77.485	684	684	0.00089928	6.8007	3072.4	2655.3	2834.4	2454.5	2673.7	1207.3	370.76	3025.1	1703	1713.4	3266.2	2554.9	2360	2068.5	866.53	2830.7	2474.6	2884.2	2498.6	2723.3	1337.3	535.68	2949.5	1719.5	1840.2	3225.7	2555.4	2364.2	1984.5	855.07	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	12967000	1				1227	6697	True	6968	10996	14564	14564		
sp|Q9UKK6|NXT1_HUMAN	sp|Q9UKK6|NXT1_HUMAN	1	1	1	sp|Q9UKK6|NXT1_HUMAN NTF2-related export protein 1 OS=Homo sapiens OX=9606 GN=NXT1 PE=1 SV=1	1	1	1	1	14.3	14.3	14.3	15.847	140	140	0	17.758	12903	8930	10091	22499	9643.4	1112.6	987.74	19249	9496.7	10001	22493	12786	17539	14155	2449	11875	8474.9	10431	21542	9811.4	2874.7	1700.7	18400	9686.2	10735	22145	13003	17328	13500	2602.3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	39876000	1				1228	1063	True	1094	1715	2241	2241		
sp|Q9UKV3|ACINU_HUMAN	sp|Q9UKV3|ACINU_HUMAN	1	1	1	sp|Q9UKV3|ACINU_HUMAN Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1 PE=1 SV=2	1	1	1	1	1	1	1	151.86	1341	1341	0.00098425	7.6541	10764	7852.3	7758.7	11548	6907.8	5174.7	4219.9	15198	5026.3	9828.9	11552	6874.9	11054	5990.8	4073.5	9902	7381	8091.2	11405	7149.6	5843.7	4407	14808	5340.9	10114	11454	7060.4	10954	5739.9	4017.9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11191000	1				1229	7672	True	7978	12567	16505	16505		
sp|Q9UKV8|AGO2_HUMAN	sp|Q9UKV8|AGO2_HUMAN	1	1	1	sp|Q9UKV8|AGO2_HUMAN Protein argonaute-2 OS=Homo sapiens OX=9606 GN=AGO2 PE=1 SV=3	1	1	1	1	2.3	2.3	2.3	97.207	859	859	0.0025974	6.3928	4410.7	4806.3	3095.9	5010.1	4451.7	592.52	859.38	4236.4	1676.4	4000.3	4479.6	1971.2	2054.6	5602.5	971.73	4057.1	4475.1	3256.4	5010.9	4417.7	962.87	1080.9	4131	1747	4028.8	4361.7	2231.8	2120.5	5290.7	949.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8410400	1				1230	1093	True	1126	1804	2374	2374		
